UTC,Dal_01_01
2002-07-10,15.0
2002-07-13,19.0
2002-07-16,20.0
2002-07-19,20.0
2002-07-22,21.0
2002-07-26,24.0
2002-07-29,25.0
2002-08-01,26.0
2002-08-05,28.0
2002-08-09,30.0
2002-08-16,35.0
2002-08-23,38.0
2002-08-30,39.0
2003-07-15,25.0
2003-07-22,32.0
2003-07-29,37.0
2003-08-06,43.0
2003-08-13,45.0
2003-08-20,46.0
2003-08-27,49.0
2003-09-05,51.0
2003-09-12,50.0
2003-09-18,53.0
2003-09-23,52.0
2003-09-26,53.0
2003-09-29,53.0
2003-09-30,53.0
2004-05-25,0.0
2004-06-04,0.0
2004-06-07,0.0
2004-06-11,2.0
2004-06-18,8.0
2004-06-27,10.0
2004-07-02,16.0
2004-07-09,20.0
2004-07-16,27.0
2005-07-14,37.0
2005-07-22,44.0
2005-07-28,45.0
2005-08-05,48.0
2005-08-12,48.0
2005-08-20,50.0
2005-08-29,51.0
2005-09-03,51.0
2006-05-30,0.0
2006-06-05,1.0
2006-06-13,5.0
2006-06-19,12.0
2006-06-29,10.0
2006-07-11,20.0
2006-07-24,30.0
2006-08-09,39.0
2006-08-27,44.0
2006-09-07,48.0
2007-07-06,31.0
2007-07-14,34.0
2007-07-24,42.0
2007-08-06,49.0
2007-08-17,54.0
2007-08-28,54.0
2008-07-14,30.0
2008-07-23,37.0
2008-08-06,42.0
2008-08-19,52.0
2008-08-29,53.0
2009-07-04,20.0
2009-07-12,23.0
2009-07-27,31.0
2009-08-14,37.0
2009-08-23,38.0
2010-07-19,43.0
2010-08-10,49.0
2010-08-30,53.0
2010-09-16,59.0
2010-09-23,54.5
2010-09-27,54.5
2011-06-04,10.0
2011-06-29,15.0
2011-07-11,24.0
2011-07-24,39.0
2011-08-08,50.0
2011-08-21,53.0
2011-08-28,53.0
2012-07-14,31.0
2012-07-26,40.0
2012-08-09,48.0
2012-08-20,49.0
2012-09-01,52.0
2013-07-15,23.0
2013-07-29,31.0
2013-08-14,40.0
2013-08-31,45.0
2014-07-08,20.0
2014-07-15,29.0
2014-08-02,43.0
2014-08-23,50.0
2015-06-11,8.0
2015-06-22,12.0
2015-07-05,20.0
2015-07-15,27.0
2015-07-31,38.0
2015-08-15,46.0
2015-08-28,55.0
2015-09-11,54.0
2015-09-23,54.0
2016-07-12,18.0
2016-07-23,25.0
2016-08-04,32.0
2016-08-16,37.0
2016-08-27,39.0
2016-09-15,46.0
2017-07-08,25.0
2017-07-15,26.0
2017-08-01,35.0
2017-08-15,39.0
2017-08-31,48.0
2017-09-13,51.0
2018-06-20,23.0
2018-07-09,34.0
2018-07-25,42.0
2018-08-13,47.0
2018-08-28,51.0
2018-09-14,59.5
